sector,phi_deg,theta_deg,gamma_deg,rho_paso_mm,x_perfil_mm,y_perfil_mm,radio_perfil_mm,mu_deg
subida,144.500,4.6225,58.2709,156.3936,79.2309,113.2486,138.2128,3.701
subida,145.000,4.7654,57.8360,156.8996,80.3600,113.0719,138.7191,3.631
subida,145.500,4.9089,57.4015,157.4072,81.4912,112.8863,139.2269,3.560
subida,146.000,5.0528,56.9671,157.9162,82.6244,112.6917,139.7362,3.488
subida,146.500,5.1973,56.5331,158.4268,83.7595,112.4880,140.2470,3.416
subida,147.000,5.3422,56.0993,158.9388,84.8965,112.2752,140.7592,3.344
subida,147.500,5.4877,55.6658,159.4523,86.0353,112.0533,141.2728,3.271
subida,148.000,5.6336,55.2325,159.9673,87.1757,111.8222,141.7879,3.197
subida,148.500,5.7800,54.7995,160.4838,88.3179,111.5819,142.3044,3.123
subida,149.000,5.9269,54.3668,161.0018,89.4616,111.3323,142.8224,3.049
subida,149.500,6.0743,53.9343,161.5212,90.6068,111.0734,143.3418,2.974
subida,150.000,6.2222,53.5021,162.0422,91.7534,110.8051,143.8627,2.898
subida,150.500,6.3706,53.0702,162.5646,92.9015,110.5275,144.3850,2.822
subida,151.000,6.5195,52.6385,163.0884,94.0508,110.2405,144.9087,2.745
subida,151.500,6.6689,52.2071,163.6137,95.2013,109.9441,145.4338,2.668
subida,152.000,6.8188,51.7760,164.1405,96.3530,109.6381,145.9604,2.591
subida,152.500,6.9691,51.3451,164.6688,97.5058,109.3227,146.4883,2.513
subida,153.000,7.1200,50.9145,165.1984,98.6596,108.9977,147.0177,2.434
subida,153.500,7.2714,50.4842,165.7296,99.8143,108.6631,147.5485,2.355
subida,154.000,7.4232,50.0541,166.2622,100.9699,108.3188,148.0807,2.276
subida,154.500,7.5756,49.6243,166.7962,102.1263,107.9650,148.6143,2.196
subida,155.000,7.7284,49.1948,167.3316,103.2834,107.6014,149.1493,2.116
subida,155.500,7.8817,48.7655,167.8685,104.4411,107.2282,149.6857,2.035
subida,156.000,8.0356,48.3365,168.4069,105.5993,106.8452,150.2235,1.953
subida,156.500,8.1899,47.9078,168.9466,106.7581,106.4524,150.7627,1.871
subida,157.000,8.3447,47.4793,169.4878,107.9172,106.0498,151.3033,1.789
subida,157.500,8.5000,47.0511,170.0303,109.0767,105.6374,151.8452,1.706
subida,158.000,8.6558,46.6232,170.5743,110.2364,105.2151,152.3886,1.623
subida,158.500,8.8121,46.1955,171.1197,111.3962,104.7830,152.9333,1.539
subida,159.000,8.9689,45.7681,171.6666,112.5562,104.3409,153.4794,1.455
subida,159.500,9.1262,45.3410,172.2148,113.7162,103.8889,154.0268,1.370
subida,160.000,9.2840,44.9141,172.7644,114.8761,103.4269,154.5756,1.285
subida,160.500,9.4422,44.4875,173.3154,116.0358,102.9549,155.1258,1.199
subida,161.000,9.6010,44.0611,173.8678,117.1953,102.4729,155.6773,1.113
subida,161.500,9.7602,43.6350,174.4215,118.3545,101.9808,156.2302,1.026
